branch_code,name,code,description,address,collection_day,collection_schedule
b15,5.36 Sapi,5.36,,Sapi,Selasa,
b15,5.37 RW 01,5.37,,RW 01,Kamis,
b15,5.38 Sapi,5.38,,Sapi,Kamis,
b15,5.39 Nelayan,5.39,,Nelayan,Selasa,
b15,5.4 Kelapa Dua,5.4,,Kelapa Dua,Selasa,
b15,5.40 Buntu,5.40,,Buntu,Selasa,
b15,5.41 Kebantenan,5.41,,Kebantenan,Rabu,
b15,5.42 Kelapa Dua,5.42,,Kelapa Dua,Kamis,
b15,5.43 Kayu,5.43,,Kayu,Senin,
b15,5.44 BS,5.44,,BS,Selasa,
b15,5.45 Bambu,5.45,,Bambu,Rabu,
b15,5.46 Bambu,5.46,,Bambu,Kamis,
b15,5.47 Landak,5.47,,Landak,Kamis,
b15,5.48 RW 02,5.48,,RW 02,Kamis,
b15,5.49 Swadaya,5.49,,Swadaya,Senin,
b15,5.5 Mini,5.5,,Mini,Senin,
b15,5.50 Cilincing Raya,5.50,,Cilincing Raya,Rabu,
b15,5.51 Pangkalan Pasir,5.51,,Pangkalan Pasir,Rabu,
b15,5.52 Macan,5.52,,Macan,Senin,
b15,5.53 Mencos,5.53,,Mencos,Selasa,
b15,5.54 Landak,5.54,,Landak,Rabu,
b15,5.55 Anggrek,5.55,,Anggrek,Kamis,
b15,5.56 Sungai Begog,5.56,,Sungai Begog,Senin,
b15,5.57 BS,5.57,,BS,Selasa,
b15,5.58 Kebantenan,5.58,,Kebantenan,Kamis,
b15,5.59 Bakti,5.59,,Bakti,Kamis,
b15,5.6 Manunggal,5.6,,Manunggal,Rabu,
b15,5.60 Tanah Merdeka,5.60,,Tanah Merdeka,Selasa,
b15,5.61 Semprotan,5.61,,Semprotan,Rabu,
b15,5.62 Semprotan,5.62,,Semprotan,Rabu,
b15,5.63 Rajungan,5.63,,Rajungan,Selasa,
b15,5.64 Bambu,5.64,,Bambu,Rabu,
b15,5.65 Kosambi,5.65,,Kosambi,Kamis,
b15,5.66 RW 01,5.66,,RW 01,Senin,
b15,5.67 Kakap,5.67,,Kakap,Kamis,
b15,5.68 Kosambi,5.68,,Kosambi,Rabu,
b15,5.69 Dwi Tunggal,5.69,,Dwi Tunggal,Kamis,
b15,5.7 Kayu,5.7,,Kayu,Kamis,
b15,5.70 Pelelangan,5.70,,Pelelangan,Selasa,
b15,5.71 Kebantenan,5.71,,Kebantenan,Rabu,
b15,5.72 Tanah Merdeka,5.72,,Tanah Merdeka,Kamis,
b15,5.73 Sungai Begog,5.73,,Sungai Begog,Senin,
b15,5.74 Sungai Begog,5.74,,Sungai Begog,Senin,
b15,5.75 RW 02,5.75,,RW 02,Selasa,
b15,5.76 Bakti,5.76,,Bakti,Rabu,
b15,5.77 Pedongkelan,5.77,,Pedongkelan,Senin,
b15,5.78 Manunggal,5.78,,Manunggal,Senin,
b15,5.79 Kampung Semper,5.79,,Kampung Semper,Rabu,
b15,5.8 Kamboja,5.8,,Kamboja,Senin,
b15,5.80 Kosambi,5.80,,Kosambi,Kamis,
b15,5.81 Anggrek,5.81,,Anggrek,Rabu,
b15,5.82 Pelelangan,5.82,,Pelelangan,Selasa,
b15,5.83 Belah Kapal,5.83,,Belah Kapal,Kamis,
b15,5.84 Cibet,5.84,,Cibet,Selasa,
b15,5.85 Kakap,5.85,,Kakap,Selasa,
b15,5.86 Sungai Begog,5.86,,Sungai Begog,Senin,
b15,5.87 Pasir,5.87,,Pasir,Selasa,
b15,5.9 Sate,5.9,,Sate,Rabu,
b17,7.1 Al-Bahar,7.1,,Al-Bahar,Kamis,
b17,7.11 Bendungan Batik,7.11,,Bendungan Batik,Senin,
b17,7.13 DKI,7.13,,DKI,Kamis,
b17,7.14 Lontar,7.14,,Lontar,Rabu,
b17,7.15 Mawar,7.15,,Mawar,Selasa,
b17,7.17 Blok F,7.17,,Blok F,Kamis,
b17,7.18 Kobra,7.18,,Kobra,Rabu,
b17,7.19 Beting,7.19,,Beting,Kamis,
b17,7.2 Blok F,7.2,,Blok F,Kamis,
b17,7.20 Kandang,7.20,,Kandang,Senin,
b17,7.21 Melur ,7.21,,Melur ,Senin,
b17,7.23 Gang Karii,7.23,,Gang Karii,Kamis,
b17,7.24 Yon Air,7.24,,Yon Air,Senin,
b17,7.26 Mawar,7.26,,Mawar,Selasa,
b17,7.27 Rawa Indah,7.27,,Rawa Indah,Kamis,
b17,7.28 Tanah Merah,7.28,,Tanah Merah,Rabu,
b17,7.29 Balai Rakyat,7.29,,Balai Rakyat,Kamis,
b17,7.3 Blok F,7.3,,Blok F,Kamis,
b17,7.30 Belimbing,7.30,,Belimbing,Senin,
b17,7.31 Walang,7.31,,Walang,Rabu,
b17,7.32 Tegal Kunir,7.32,,Tegal Kunir,Selasa,
b17,7.33 Walang,7.33,,Walang,Senin,
b17,7.34 Sukapura,7.34,,Sukapura,Senin,
b17,7.35 Mawar,7.35,,Mawar,Selasa,
b17,7.36 Hj. Oyar,7.36,,Hj. Oyar,Selasa,
b17,7.37 Bendungan Melayu,7.37,,Bendungan Melayu,Rabu,
b17,7.39 Kampung Baru,7.39,,Kampung Baru,Senin,
b17,7.4 Mawar,7.4,,Mawar,Rabu,
b17,7.40 Pepaya,7.40,,Pepaya,Rabu,
b17,7.42 Yon Air,7.42,,Yon Air,Kamis,
b17,7.44 Beting,7.44,,Beting,Senin,
b17,7.45 Gang Gereja,7.45,,Gang Gereja,Kamis,
b17,7.47 Gang Pojok,7.47,,Gang Pojok,Senin,
b17,7.49 Blok R,7.49,,Blok R,Rabu,
b17,7.5 H. Kari,7.5,,H. Kari,Kamis,
b17,7.50 Cemara,7.50,,Cemara,Selasa,
b17,7.51 Bendungan Melayu,7.51,,Bendungan Melayu,Rabu,
b17,7.52 Mawar,7.52,,Mawar,Rabu,
b17,7.53 Kebon Baru,7.53,,Kebon Baru,Senin,
b17,7.54 Melur,7.54,,Melur,Selasa,
b17,7.55 Bulak,7.55,,Bulak,Selasa,
b17,7.56 Plumpang,7.56,,Plumpang,Rabu,
b17,7.57 H. Sarwono,7.57,,H. Sarwono,Rabu,
b17,7.58 Beting,7.58,,Beting,Selasa,
b17,7.59 Toar,7.59,,Toar,Senin,
b17,7.6 Bea Cukai,7.6,,Bea Cukai,Senin,
b17,7.60 Tipar,7.60,,Tipar,Senin,
b17,7.61 Walang,7.61,,Walang,Selasa,
b17,7.62 UKA,7.62,,UKA,Rabu,
b17,7.63 Bulak,7.63,,Bulak,Selasa,
b17,7.64 UKA,7.64,,UKA,Kamis,
b17,7.65 Kavling,7.65,,Kavling,Rabu,
b17,7.66 Lontar,7.66,,Lontar,Rabu,
b17,7.67 Abror,7.67,,Abror,Kamis,
b17,7.68 Gang Salon,7.68,,Gang Salon,Kamis,
b17,7.69 H. Tiung,7.69,,H. Tiung,Rabu,
b17,7.7 Gang Sepat,7.7,,Gang Sepat,Rabu,
b17,7.70 Kampar,7.70,,Kampar,Selasa,
b17,7.71 Deperla,7.71,,Deperla,Rabu,
b17,7.72 Kompi Jenggot,7.72,,Kompi Jenggot,Rabu,
b17,7.73 Tanah Merah,7.73,,Tanah Merah,Kamis,
b17,7.74 Beting,7.74,,Beting,Senin,
b17,7.75 UKA,7.75,,UKA,Selasa,
b17,7.76 Syawal,7.76,,Syawal,Kamis,
b17,7.77 Dukuh,7.77,,Dukuh,Senin,
b17,7.78 Gang Salon,7.78,,Gang Salon,Kamis,
b17,7.79 Rawa Sengon,7.79,,Rawa Sengon,Kamis,
b17,7.8 UKA,7.8,,UKA,Selasa,
b17,7.80 Gang Salon,7.80,,Gang Salon,Senin,
b17,7.81 Mawar,7.81,,Mawar,Kamis,
b17,7.82 Sukapura,7.82,,Sukapura,Selasa,
b17,7.83 Cemara,7.83,,Cemara,Selasa,
b17,7.84 Lontar,7.84,,Lontar,Selasa,
b17,7.85 Kepu,7.85,,Kepu,Selasa,
b17,7.86 H. Kari,7.86,,H. Kari,Kamis,
b17,7.87 Sukapura,7.87,,Sukapura,Kamis,
b17,7.88 Pepaya,7.88,,Pepaya,Kamis,
b17,7.89 Kampung Kandang,7.89,,Kampung Kandang,Senin,
b17,7.9 Gang Pelajar,7.9,,Gang Pelajar,Rabu,
b17,7.90 Beting,7.90,,Beting,Senin,
b17,7.91 Kemuning,7.91,,Kemuning,Selasa,
b17,7.92 Mawar,7.92,,Mawar,Rabu,
b17,7.93 Sukapura,7.93,,Sukapura,Selasa,
b17,7.94. Mahoni,7.94.,,Mahoni,Rabu,
b17,7.95 Kampung Baru,7.95,,Kampung Baru,Rabu,
b17,7.96 DKI,7.96,,DKI,Senin,
b17,7.97 Mawar,7.97,,Mawar,Kamis,
b17,7.97 Mawar,7.97,,Mawar,Kamis,
b14,CD-038 Malaka Bulak,CD-038,,Malaka Bulak,Senin,
b14,CD-046 Malaka Bulak,CD-046,,Malaka Bulak,Senin,
